artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userAgent,userId
,Logged In,Kimber,F,0,Norris,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Home,1540975589796.0,412,,200,1542000167796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",47
,Logged In,Lily,F,0,Burns,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,About,1540621059796.0,466,,200,1542001320796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",32
,Logged In,Lily,F,1,Burns,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Home,1540621059796.0,466,,200,1542001337796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",32
,Logged In,Chloe,F,0,Cuevas,,free,"San Francisco-Oakland-Hayward, CA",GET,Home,1540940782796.0,470,,200,1542001991796,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
,Logged In,Ryan,M,0,Smith,,free,"San Jose-Sunnyvale-Santa Clara, CA",GET,Home,1541016707796.0,483,,200,1542002972796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""",26
Pork Dukes,Logged In,Noah,M,0,Chavez,133.04118,free,"Ogden-Clearfield, UT",PUT,NextSong,1540970748796.0,262,Bend & Flush,200,1542003207796,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,94
,Logged In,Adler,M,0,Barrera,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Home,1540835983796.0,428,,200,1542012631796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",100
Plan B,Logged In,Adler,M,1,Barrera,254.95465,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540835983796.0,428,Traded In My Cigarettes,200,1542012644796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",100
Rell featuring Dert_ Killa Klump_ Silence,Logged In,Adler,M,2,Barrera,223.97342,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540835983796.0,428,Talk Is Drastik,200,1542012898796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",100
K-OS,Logged In,Adler,M,3,Barrera,211.33016,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540835983796.0,428,EMCEE Murdah,200,1542013121796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",100
Vanessa Carlton,Logged In,Adler,M,4,Barrera,272.40444,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540835983796.0,428,Come Undone,200,1542013332796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",100
Camila,Logged In,Emily,F,0,Benson,280.34567,paid,"Augusta-Richmond County, GA-SC",PUT,NextSong,1540907087796.0,377,De Mi,200,1542013383796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",58
Buju Banton,Logged In,Emily,F,1,Benson,232.48934,paid,"Augusta-Richmond County, GA-SC",PUT,NextSong,1540907087796.0,377,Cry No More,200,1542013663796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",58
,Logged In,Chloe,F,0,Cuevas,,free,"San Francisco-Oakland-Hayward, CA",GET,Home,1540940782796.0,490,,200,1542017836796,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
Feist,Logged In,Evelin,F,0,Ayala,184.94649,free,"Milwaukee-Waukesha-West Allis, WI",PUT,NextSong,1541007976796.0,318,My Moon My Man,200,1542017923796,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,34
Kings Of Leon,Logged In,Chloe,F,1,Cuevas,201.79546,free,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940782796.0,490,Revelry,200,1542018073796,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
Beck,Logged In,Aiden,M,0,Hess,228.80608,free,"La Crosse-Onalaska, WI-MN",PUT,NextSong,1540829025796.0,344,Lost Cause,200,1542018366796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",86
Big Walter Horton's Blues Harp Band,Logged In,Aiden,M,1,Hess,210.78159,free,"La Crosse-Onalaska, WI-MN",PUT,NextSong,1540829025796.0,344,Rockin' My Boogie,200,1542018594796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",86
Supervielle,Logged In,Aiden,M,2,Hess,263.83628,free,"La Crosse-Onalaska, WI-MN",PUT,NextSong,1540829025796.0,344,332,200,1542018804796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",86
Bryan Adams,Logged In,Samuel,M,0,Gonzalez,254.79791,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540492941796.0,454,Cloud Number Nine,200,1542018902796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",61
Slipknot,Logged In,Aiden,M,3,Hess,259.44771,free,"La Crosse-Onalaska, WI-MN",PUT,NextSong,1540829025796.0,344,Eyeless (Live version) (Album Version),200,1542019067796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",86
The Black Keys,Logged In,Aiden,M,4,Hess,139.51955,free,"La Crosse-Onalaska, WI-MN",PUT,NextSong,1540829025796.0,344,I'll Be Your Man,200,1542019326796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",86
Shinedown,Logged In,Jordan,F,0,Hicks,233.97832,free,"Salinas, CA",PUT,NextSong,1540008898796.0,449,Sound Of Madness (Album Version),200,1542021588796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",37
Devin Townsend,Logged In,Kevin,M,0,Arellano,576.33914,free,"Harrisburg-Carlisle, PA",PUT,NextSong,1540006905796.0,450,Earth Day,200,1542022869796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",66
,Logged In,Kevin,M,1,Arellano,,free,"Harrisburg-Carlisle, PA",PUT,Logout,1540006905796.0,450,,307,1542022870796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",66
,Logged Out,,,2,,,free,,GET,Home,,450,,200,1542022878796,,
,Logged Out,,,3,,,free,,PUT,Login,,450,,307,1542022879796,,
Stray Cats,Logged In,Ryan,M,0,Smith,243.77424,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1541016707796.0,491,Jeanie Jeanie Jeanie,200,1542022882796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""",26
,Logged In,Kevin,M,4,Arellano,,free,"Harrisburg-Carlisle, PA",GET,Home,1540006905796.0,450,,200,1542022981796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",66
Dwight Yoakam,Logged In,Ryan,M,1,Smith,239.3073,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1541016707796.0,491,You're The One,200,1542023125796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""",26
,Logged In,Ryan,M,2,Smith,,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,Logout,1541016707796.0,491,,307,1542023126796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""",26
,Logged Out,,,3,,,free,,GET,Home,,491,,200,1542023240796,,
,Logged Out,,,4,,,free,,GET,About,,491,,200,1542023278796,,
,Logged In,Kevin,M,5,Arellano,,free,"Harrisburg-Carlisle, PA",GET,Upgrade,1540006905796.0,450,,200,1542023402796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",66
Talking Heads,Logged In,Kevin,M,6,Arellano,259.02975,free,"Harrisburg-Carlisle, PA",PUT,NextSong,1540006905796.0,450,Road To Nowhere (Remastered LP Version ),200,1542023445796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",66
Guns N' Roses,Logged In,Kevin,M,7,Arellano,406.17751,free,"Harrisburg-Carlisle, PA",PUT,NextSong,1540006905796.0,450,Paradise City,200,1542023704796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",66
Lily Allen,Logged In,Maia,F,0,Burke,195.13424,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540676534796.0,316,Smile (Explicit Version),200,1542031368796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",51
LCD Soundsystem,Logged In,Maia,F,1,Burke,201.56036,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540676534796.0,316,Daft Punk Is Playing At My House,200,1542031563796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",51
Tiefschwarz,Logged In,Maia,F,2,Burke,455.78404,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540676534796.0,316,Wait & See (Gucci Soundsystem Remix),200,1542031764796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",51
Buckcherry,Logged In,Lily,F,0,Burns,263.36608,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540621059796.0,489,Everything (Album Version),200,1542032149796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",32
The Get Up Kids,Logged In,Maia,F,3,Burke,205.26975,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540676534796.0,316,Forgive and Forget,200,1542032219796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",51
Neko Case,Logged In,Lily,F,1,Burns,151.01342,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540621059796.0,489,People Got A Lotta Nerve,200,1542032412796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",32
Outkast Featuring Killer Mike,Logged In,Maia,F,4,Burke,295.33995,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540676534796.0,316,The Whole World,200,1542032424796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",51
Does It Offend You_ Yeah?,Logged In,Lily,F,2,Burns,220.57751,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540621059796.0,489,Doomed Now,200,1542032563796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",32
Eminem,Logged In,Maia,F,5,Burke,268.5122,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540676534796.0,316,My Name Is,200,1542032719796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",51
Kabosh,Logged In,Lily,F,3,Burns,242.41587,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540621059796.0,489,Little Pills,200,1542032783796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",32
Enigma,Logged In,Maia,F,6,Burke,141.5571,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540676534796.0,316,The Voice Of Enigma,200,1542032987796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",51
Jason Mraz,Logged In,Lily,F,4,Burns,226.53342,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540621059796.0,489,After An Afternoon (Eagles Ballroom Live Version),200,1542033025796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",32
,Logged In,Samuel,M,0,Gonzalez,,free,"Houston-The Woodlands-Sugar Land, TX",GET,Home,1540492941796.0,497,,200,1542034998796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",61
The Black Keys,Logged In,Samuel,M,1,Gonzalez,234.26567,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540492941796.0,497,The Desperate Man,200,1542035050796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",61
Mayday Parade,Logged In,Samuel,M,2,Gonzalez,290.79465,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540492941796.0,497,Three Cheers for Five Years (Acoustic),200,1542035284796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",61
Sam Cooke,Logged In,Samuel,M,3,Gonzalez,122.04363,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540492941796.0,497,Ain't Misbehavin,200,1542035574796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",61
,Logged In,Chloe,F,0,Cuevas,,free,"San Francisco-Oakland-Hayward, CA",GET,Home,1540940782796.0,496,,200,1542037333796,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
,Logged In,Chloe,F,1,Cuevas,,free,"San Francisco-Oakland-Hayward, CA",GET,Home,1540940782796.0,496,,200,1542037696796,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
,Logged Out,,,0,,,paid,,PUT,Login,,374,,307,1542037774796,,
Enrique Iglesias,Logged In,Chloe,F,2,Cuevas,241.42322,free,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940782796.0,496,Tired Of Being Sorry,200,1542037810796,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
,Logged In,Kate,F,1,Harrell,,paid,"Lansing-East Lansing, MI",GET,Home,1540472624796.0,374,,200,1542037813796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",97
Plain White T's,Logged In,Kate,F,2,Harrell,232.202,paid,"Lansing-East Lansing, MI",PUT,NextSong,1540472624796.0,374,Hey There Delilah,200,1542037901796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",97
,Logged In,Lily,F,0,Burns,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Home,1540621059796.0,503,,200,1542038013796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",32
The Brecker Brothers,Logged In,Lily,F,1,Burns,217.5473,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540621059796.0,503,East River,200,1542038022796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",32
Buckcherry,Logged In,Chloe,F,3,Cuevas,226.14159,free,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940782796.0,496,Sorry (Album Version),200,1542038051796,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,49
Dayglo Abortions,Logged In,Kate,F,3,Harrell,142.78485,paid,"Lansing-East Lansing, MI",PUT,NextSong,1540472624796.0,374,Courage In A Can,200,1542038133796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",97
The Herbaliser,Logged In,Kate,F,4,Harrell,273.8673,paid,"Lansing-East Lansing, MI",PUT,NextSong,1540472624796.0,374,Sensual Woman,200,1542038275796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",97
Toni Braxton,Logged In,Kate,F,5,Harrell,268.45995,paid,"Lansing-East Lansing, MI",PUT,NextSong,1540472624796.0,374,Un-Break My Heart,200,1542038548796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",97
Shania Twain,Logged In,Kate,F,6,Harrell,250.51383,paid,"Lansing-East Lansing, MI",PUT,NextSong,1540472624796.0,374,Nah!,200,1542038816796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",97
Discovery,Logged In,Chloe,F,0,Roth,206.0273,free,"Indianapolis-Carmel-Anderson, IN",PUT,NextSong,1540699429796.0,247,I Want You Back,200,1542038818796,Mozilla/5.0 (Windows NT 6.1; rv:31.0) Gecko/20100101 Firefox/31.0,78
Justin Bieber,Logged In,Chloe,F,1,Roth,220.89098,free,"Indianapolis-Carmel-Anderson, IN",PUT,NextSong,1540699429796.0,247,Somebody To Love,200,1542039024796,Mozilla/5.0 (Windows NT 6.1; rv:31.0) Gecko/20100101 Firefox/31.0,78
Young Dro featuring T.I.,Logged In,Kate,F,7,Harrell,322.11546,paid,"Lansing-East Lansing, MI",PUT,NextSong,1540472624796.0,374,My Girl (Featuring T.I.) (Amended Album Version),200,1542039066796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",97
Rancid,Logged In,Chloe,F,2,Roth,152.76363,free,"Indianapolis-Carmel-Anderson, IN",PUT,NextSong,1540699429796.0,247,Hooligans (Album Version),200,1542039244796,Mozilla/5.0 (Windows NT 6.1; rv:31.0) Gecko/20100101 Firefox/31.0,78
Sergio Contreras,Logged In,Kate,F,8,Harrell,234.00444,paid,"Lansing-East Lansing, MI",PUT,NextSong,1540472624796.0,374,DÃÂ­selo Con Arte,200,1542039388796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",97
Jason Derulo,Logged In,Kate,F,9,Harrell,222.61506,paid,"Lansing-East Lansing, MI",PUT,NextSong,1540472624796.0,374,Whatcha Say,200,1542039622796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",97
A Perfect Circle,Logged In,Kate,F,10,Harrell,246.04689,paid,"Lansing-East Lansing, MI",PUT,NextSong,1540472624796.0,374,The Outsider,200,1542039844796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",97
Terrorvision,Logged In,Kate,F,11,Harrell,160.54812,paid,"Lansing-East Lansing, MI",PUT,NextSong,1540472624796.0,374,Glad All Over,200,1542040090796,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",97
,Logged In,Jacob,M,0,Klein,,paid,"Tampa-St. Petersburg-Clearwater, FL",GET,Home,1540558108796.0,294,,200,1542040643796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",73
Sufjan Stevens,Logged In,Jacob,M,1,Klein,179.04281,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1540558108796.0,294,All The Kings Horns,200,1542040784796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",73
Pieces Of A Dream,Logged In,Jacob,M,2,Klein,315.79383,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1540558108796.0,294,Ocean View,200,1542040963796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",73
,Logged In,Jacob,M,3,Klein,,paid,"Tampa-St. Petersburg-Clearwater, FL",GET,Home,1540558108796.0,294,,200,1542041116796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",73
Alceu ValenÃÂ§a,Logged In,Jacob,M,4,Klein,177.21424,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1540558108796.0,294,No BalanÃÂ§o Da Canoa,200,1542041278796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",73
George Younce,Logged In,Jacob,M,5,Klein,191.68608,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1540558108796.0,294,This Old House w/ When The Saints Medley,200,1542041455796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",73
Miike Snow,Logged In,Jacob,M,6,Klein,385.35791,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1540558108796.0,294,Silvia,200,1542041646796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",73
Vikki Carr,Logged In,Jacob,M,7,Klein,157.09995,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1540558108796.0,294,Cross Your Heart,200,1542042031796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",73
Jorgen Ingmann,Logged In,Jacob,M,8,Klein,157.23057,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1540558108796.0,294,Oh! (LP Version),200,1542042188796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",73
A.B. Quintanilla III Y Los Kumbia Kings,Logged In,Jacob,M,9,Klein,226.71628,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1540558108796.0,294,Pachuco,200,1542042345796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",73
,Logged Out,,,0,,,free,,PUT,Login,,75,,307,1542042456796,,
,Logged In,Jayden,F,1,Duffy,,free,"Seattle-Tacoma-Bellevue, WA",GET,Home,1540146037796.0,75,,200,1542042467796,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",76
Fatboy Slim,Logged In,Jayden,F,2,Duffy,192.9922,free,"Seattle-Tacoma-Bellevue, WA",PUT,NextSong,1540146037796.0,75,Illuminati,200,1542042467796,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",76
Justin Bieber,Logged In,Jacob,M,10,Klein,214.67383,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1540558108796.0,294,One Time,200,1542042571796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",73
Metallica,Logged In,Jacob,M,11,Klein,515.21261,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1540558108796.0,294,Master Of Puppets,200,1542042785796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",73
Freddie Mercury,Logged In,Jacob,M,12,Klein,219.29751,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1540558108796.0,294,I Was Born To Love You (2000 Digital Remaster),200,1542043300796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",73
Angus & Julia Stone,Logged In,Maia,F,0,Burke,262.42567,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540676534796.0,502,Jewels And Gold,200,1542043483796,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",51
